column_name,description,source,role
container_port_traffic,Container port traffic (TEU),World Bank WDI (IS.SHP.GOOD.TU),incidental
forest_area_sq_km,Forest area in sq km,World Bank WDI (AG.LND.FRST.K2),incidental
marine_protected_areas_pct,Marine protected areas as % of territorial waters,World Bank WDI (ER.MRN.PTMR.ZS),incidental
terrestrial_protected_areas_pct,Terrestrial protected areas as % of total land,World Bank WDI (ER.LND.PTLD.ZS),incidental
atms_per_100k_adults,"ATMs per 100,000 adults",World Bank WDI (FB.ATM.TOTL.P5),incidental
bank_branches_per_100k,"Commercial bank branches per 100,000 adults",World Bank WDI (FB.CBK.BRCH.P5),incidental
stock_market_cap_pct_gdp,Market capitalization of listed companies % GDP,World Bank WDI (CM.MKT.LCAP.GD.ZS),incidental
listed_domestic_companies,Number of listed domestic companies,World Bank WDI (CM.MKT.LDOM.NO),incidental
remittances_received_usd,Personal remittances received in USD,World Bank WDI (BX.TRF.PWKR.CD.DT),incidental
tax_revenue_pct_gdp,Tax revenue as % of GDP,World Bank WDI (GC.TAX.TOTL.GD.ZS),incidental
govt_debt_pct_gdp,Central government debt as % of GDP,World Bank WDI (GC.DOD.TOTL.GD.ZS),incidental
internet_users_pct,Individuals using the Internet %,World Bank WDI (IT.NET.USER.ZS),incidental
patent_applications_residents,Patent applications by residents,World Bank WDI (IP.PAT.RESD),incidental
patent_applications_nonresidents,Patent applications by non-residents,World Bank WDI (IP.PAT.NRES),incidental
research_development_pct_gdp,Research and development expenditure % GDP,World Bank WDI (GB.XPD.RSDV.GD.ZS),incidental
life_expectancy_male,Life expectancy at birth male,World Bank WDI (SP.DYN.LE00.MA.IN),incidental
life_expectancy_female,Life expectancy at birth female,World Bank WDI (SP.DYN.LE00.FE.IN),incidental
dependency_ratio_total,Age dependency ratio total,World Bank WDI (SP.POP.DPND),incidental
suicide_rate_per_100k,"Suicide mortality rate per 100,000",World Bank WDI (SH.STA.SUIC.P5),incidental
alcohol_consumption_liters_pc,Total alcohol consumption per capita liters,World Bank WDI (SH.ALC.PCAP.LI),incidental
smoking_prevalence_male,Smoking prevalence males %,World Bank WDI (SH.PRV.SMOK.MA),incidental
smoking_prevalence_female,Smoking prevalence females %,World Bank WDI (SH.PRV.SMOK.FE),incidental
urban_population_pct,Urban population %,World Bank WDI (SP.URB.TOTL.IN.ZS),incidental
population_total,Total population,World Bank WDI (SP.POP.TOTL),incidental
education_expenditure_total_pct_gdp,Government expenditure on education % GDP,World Bank WDI (SE.XPD.TOTL.GD.ZS),incidental
tertiary_enrollment_gross,Gross enrollment ratio tertiary education,World Bank WDI (SE.TER.ENRR),incidental
literacy_rate_adult,Literacy rate adult %,World Bank WDI (SE.ADT.LITR.ZS),incidental
international_tourist_arrivals,International tourism number of arrivals,World Bank WDI (ST.INT.ARVL),incidental
tourism_receipts_usd,International tourism receipts in USD,World Bank WDI (ST.INT.RCPT.CD),incidental
international_tourist_departures,International tourism number of departures,World Bank WDI (ST.INT.DPRT),incidental
tourism_expenditure_usd,International tourism expenditures in USD,World Bank WDI (ST.INT.XPND.CD),incidental
scrabble_score_country_name,Scrabble score of country name (English letter values),Derived from country name,spurious
letters_shared_with_usa,"Number of unique letters shared with ""United States""",Derived from country name,spurious
letters_shared_with_switzerland,"Number of unique letters shared with ""Switzerland""",Derived from country name,spurious
fibonacci_name_distance,Distance of letter count to nearest Fibonacci number,Derived from country name (pseudoscience),spurious
prime_name_distance,Distance of letter count to nearest prime number,Derived from country name (pseudoscience),spurious
golden_ratio_name_distance,Distance of vowel/consonant ratio to golden ratio (0.618),Derived from country name (pseudoscience),spurious
reverse_alphabetical_rank,"Reverse alphabetical ranking (254=first alphabetically, 1=last)",Derived from country name,spurious
name_rhythmic_score,Fraction of consecutive letter pairs that alternate vowel/consonant,Derived from country name,spurious
iso_numeric_code,ISO 3166-1 numeric country code (arbitrary number assigned by ISO),ISO 3166-1,spurious
country_calling_code,"International telephone calling code (e.g., +1 for USA, +44 for UK)",ITU,spurious
capital_name_length,Number of characters in capital city name,Derived from capital city name,spurious
capital_scrabble_score,Scrabble score of capital city name,Derived from capital city name,spurious
capital_numerology_score,Numerology score of capital city name (sum of letter positions),Derived from capital city name (pseudoscience),spurious
capital_vowel_count,Number of vowels in capital city name,Derived from capital city name,spurious
capital_syllable_count,Approximate syllable count of capital city name,Derived from capital city name,spurious
country_plus_capital_length,Total letter count of country name + capital city name,Derived from country and capital names,spurious
flag_colors_count,Number of distinct colors in national flag,Vexillology data,spurious
passport_visa_free_destinations,Number of destinations accessible visa-free or visa-on-arrival,Henley Passport Index 2023,spurious
average_male_height_cm,Average adult male height in centimeters,NCD Risk Factor Collaboration / WHO,spurious
national_holidays_per_year,Number of official national public holidays per year,Various government sources,spurious
highest_peak_meters,Height of highest mountain peak in meters,Various geographic sources,spurious
football_association_founded,Year the national football (soccer) association was founded,FIFA,spurious
national_anthem_duration_sec,Duration of national anthem in seconds,Various musicological sources,spurious
observed_inclusion_benchmark_1,Weighted governance proxy,Derived (computed),spurious
transversal_vitality_benchmark_2,Regional prosperity indicator,Derived (computed),spurious
demographic_capacity_measure_3,Aggregated institutional measure,Derived (computed),spurious
social_convergence_estimator_4,Comparative equity measure,Derived (computed),spurious
multifactorial_engagement_index_5,Systemic cohesion factor,Derived (computed),spurious
relative_adaptation_index_6,Regional prosperity indicator,Derived (computed),spurious
multifactorial_mobility_value_7,Comparative equity measure,Derived (computed),spurious
relative_vitality_score_8,Longitudinal stability metric,Derived (computed),spurious
transversal_equity_factor_9,Longitudinal stability metric,Derived (computed),spurious
demographic_adaptation_estimator_10,Comparative equity measure,Derived (computed),spurious
adjusted_engagement_metric_11,Normalized welfare benchmark,Derived (computed),spurious
structural_growth_proxy_12,Weighted governance proxy,Derived (computed),spurious
weighted_productivity_score_13,Composite development metric,Derived (computed),spurious
social_prosperity_quotient_14,Empirical resilience score,Derived (computed),spurious
longitudinal_growth_metric_15,Empirical resilience score,Derived (computed),spurious
regional_capacity_factor_16,Analytical growth coefficient,Derived (computed),spurious
analytical_adaptation_estimator_17,Systemic cohesion factor,Derived (computed),spurious
observed_inclusion_proxy_18,Derived socioeconomic indicator,Derived (computed),spurious
analytical_development_estimator_19,Weighted governance proxy,Derived (computed),spurious
transversal_productivity_measure_20,Aggregated institutional measure,Derived (computed),spurious
sectoral_resilience_parameter_21,Multifactorial development index,Derived (computed),spurious
structural_infrastructure_measure_22,Systemic cohesion factor,Derived (computed),spurious
integrated_vitality_coefficient_23,Comparative equity measure,Derived (computed),spurious
economic_growth_measure_24,Integrated progress parameter,Derived (computed),spurious
cultural_welfare_factor_25,Observed participation rate,Derived (computed),spurious
cultural_resilience_parameter_26,Multifactorial development index,Derived (computed),spurious
adjusted_inclusion_value_27,Empirical resilience score,Derived (computed),spurious
aggregate_opportunity_value_28,Multifactorial development index,Derived (computed),spurious
observed_stability_signal_29,Structural capacity estimator,Derived (computed),spurious
derived_sustainability_proxy_30,Normalized welfare benchmark,Derived (computed),spurious
transversal_participation_estimator_31,Composite development metric,Derived (computed),spurious
estimated_adaptation_factor_32,Integrated progress parameter,Derived (computed),spurious
relative_growth_score_33,Comparative equity measure,Derived (computed),spurious
empirical_adaptation_coefficient_34,Comparative equity measure,Derived (computed),spurious
regional_adaptation_score_35,Analytical growth coefficient,Derived (computed),spurious
structural_prosperity_measure_36,Regional prosperity indicator,Derived (computed),spurious
cultural_opportunity_parameter_37,Systemic cohesion factor,Derived (computed),spurious
progressive_convergence_rate_38,Normalized welfare benchmark,Derived (computed),spurious
national_heritage_estimator_39,Comparative equity measure,Derived (computed),spurious
economic_productivity_factor_40,Derived socioeconomic indicator,Derived (computed),spurious
holistic_governance_metric_41,Systemic cohesion factor,Derived (computed),spurious
cultural_development_indicator_42,Comparative equity measure,Derived (computed),spurious
relative_prosperity_coefficient_43,Normalized welfare benchmark,Derived (computed),spurious
holistic_prosperity_measure_44,Structural capacity estimator,Derived (computed),spurious
integrated_mobility_index_45,Longitudinal stability metric,Derived (computed),spurious
economic_heritage_estimator_46,Regional prosperity indicator,Derived (computed),spurious
national_welfare_value_47,Aggregated institutional measure,Derived (computed),spurious
adjusted_development_measure_48,Multifactorial development index,Derived (computed),spurious
comparative_adaptation_rate_49,Composite development metric,Derived (computed),spurious
economic_equity_estimator_50,Empirical resilience score,Derived (computed),spurious
systemic_productivity_metric_51,Derived socioeconomic indicator,Derived (computed),spurious
institutional_resilience_benchmark_52,Multifactorial development index,Derived (computed),spurious
economic_opportunity_indicator_53,Normalized welfare benchmark,Derived (computed),spurious
analytical_heritage_benchmark_54,Derived socioeconomic indicator,Derived (computed),spurious
developmental_capacity_score_55,Comparative equity measure,Derived (computed),spurious
economic_adaptation_proxy_56,Composite development metric,Derived (computed),spurious
social_participation_indicator_57,Analytical growth coefficient,Derived (computed),spurious
cultural_stability_index_58,Comparative equity measure,Derived (computed),spurious
analytical_capacity_coefficient_59,Aggregated institutional measure,Derived (computed),spurious
integrated_growth_benchmark_60,Aggregated institutional measure,Derived (computed),spurious
transversal_participation_measure_61,Regional prosperity indicator,Derived (computed),spurious
foundational_development_estimator_62,Observed participation rate,Derived (computed),spurious
multifactorial_mobility_indicator_63,Normalized welfare benchmark,Derived (computed),spurious
holistic_growth_estimator_64,Comparative equity measure,Derived (computed),spurious
developmental_welfare_estimator_65,Longitudinal stability metric,Derived (computed),spurious
holistic_cohesion_factor_66,Observed participation rate,Derived (computed),spurious
cultural_heritage_value_67,Analytical growth coefficient,Derived (computed),spurious
economic_efficiency_rate_68,Empirical resilience score,Derived (computed),spurious
economic_capacity_signal_69,Weighted governance proxy,Derived (computed),spurious
sectoral_progress_metric_70,Empirical resilience score,Derived (computed),spurious
adjusted_sustainability_quotient_71,Multifactorial development index,Derived (computed),spurious
empirical_welfare_metric_72,Longitudinal stability metric,Derived (computed),spurious
multifactorial_equity_rate_73,Normalized welfare benchmark,Derived (computed),spurious
cultural_capacity_signal_74,Comparative equity measure,Derived (computed),spurious
empirical_inclusion_estimator_75,Composite development metric,Derived (computed),spurious
regional_participation_parameter_76,Empirical resilience score,Derived (computed),spurious
systemic_progress_quotient_77,Observed participation rate,Derived (computed),spurious
institutional_development_measure_78,Structural capacity estimator,Derived (computed),spurious
institutional_equity_score_79,Integrated progress parameter,Derived (computed),spurious
estimated_inclusion_indicator_80,Multifactorial development index,Derived (computed),spurious
integrated_transformation_metric_81,Systemic cohesion factor,Derived (computed),spurious
holistic_convergence_value_82,Aggregated institutional measure,Derived (computed),spurious
empirical_resilience_parameter_83,Structural capacity estimator,Derived (computed),spurious
relative_engagement_index_84,Empirical resilience score,Derived (computed),spurious
estimated_participation_rate_85,Weighted governance proxy,Derived (computed),spurious
cultural_mobility_proxy_86,Multifactorial development index,Derived (computed),spurious
empirical_welfare_estimator_87,Empirical resilience score,Derived (computed),spurious
institutional_participation_rate_88,Analytical growth coefficient,Derived (computed),spurious
institutional_inclusion_index_89,Comparative equity measure,Derived (computed),spurious
institutional_growth_parameter_90,Empirical resilience score,Derived (computed),spurious
structural_stability_index_91,Comparative equity measure,Derived (computed),spurious
empirical_progress_quotient_92,Structural capacity estimator,Derived (computed),spurious
systemic_progress_parameter_93,Aggregated institutional measure,Derived (computed),spurious
analytical_resilience_proxy_94,Normalized welfare benchmark,Derived (computed),spurious
holistic_heritage_measure_95,Systemic cohesion factor,Derived (computed),spurious
multifactorial_development_index_96,Analytical growth coefficient,Derived (computed),spurious
relative_welfare_index_97,Derived socioeconomic indicator,Derived (computed),spurious
comparative_growth_proxy_98,Analytical growth coefficient,Derived (computed),spurious
observed_opportunity_metric_99,Aggregated institutional measure,Derived (computed),spurious
national_capacity_proxy_100,Empirical resilience score,Derived (computed),spurious
sectoral_engagement_score_101,Structural capacity estimator,Derived (computed),spurious
sectoral_progress_parameter_102,Aggregated institutional measure,Derived (computed),spurious
analytical_engagement_measure_103,Empirical resilience score,Derived (computed),spurious
multifactorial_productivity_factor_104,Observed participation rate,Derived (computed),spurious
derived_opportunity_value_105,Composite development metric,Derived (computed),spurious
progressive_engagement_quotient_106,Derived socioeconomic indicator,Derived (computed),spurious
regional_productivity_coefficient_107,Integrated progress parameter,Derived (computed),spurious
social_heritage_estimator_108,Regional prosperity indicator,Derived (computed),spurious
derived_convergence_quotient_109,Multifactorial development index,Derived (computed),spurious
transversal_prosperity_quotient_110,Aggregated institutional measure,Derived (computed),spurious
comparative_progress_measure_111,Integrated progress parameter,Derived (computed),spurious
systemic_adaptation_factor_112,Empirical resilience score,Derived (computed),spurious
integrated_capacity_indicator_113,Composite development metric,Derived (computed),spurious
cultural_vitality_factor_114,Aggregated institutional measure,Derived (computed),spurious
aggregate_governance_coefficient_115,Structural capacity estimator,Derived (computed),spurious
social_vitality_value_116,Weighted governance proxy,Derived (computed),spurious
holistic_vitality_factor_117,Integrated progress parameter,Derived (computed),spurious
structural_inclusion_measure_118,Derived socioeconomic indicator,Derived (computed),spurious
analytical_stability_estimator_119,Regional prosperity indicator,Derived (computed),spurious
social_sustainability_rate_120,Weighted governance proxy,Derived (computed),spurious
comparative_transformation_rate_121,Structural capacity estimator,Derived (computed),spurious
progressive_productivity_parameter_122,Integrated progress parameter,Derived (computed),spurious
regional_resilience_indicator_123,Regional prosperity indicator,Derived (computed),spurious
aggregate_productivity_measure_124,Structural capacity estimator,Derived (computed),spurious
normalized_vitality_estimator_125,Derived socioeconomic indicator,Derived (computed),spurious
progressive_resilience_measure_126,Longitudinal stability metric,Derived (computed),spurious
normalized_growth_signal_127,Comparative equity measure,Derived (computed),spurious
derived_resilience_estimator_128,Structural capacity estimator,Derived (computed),spurious
developmental_resilience_value_129,Integrated progress parameter,Derived (computed),spurious
aggregate_infrastructure_coefficient_130,Aggregated institutional measure,Derived (computed),spurious
empirical_prosperity_signal_131,Composite development metric,Derived (computed),spurious
progressive_development_estimator_132,Weighted governance proxy,Derived (computed),spurious
comparative_progress_rate_133,Comparative equity measure,Derived (computed),spurious
social_vitality_signal_134,Normalized welfare benchmark,Derived (computed),spurious
social_adaptation_rate_135,Derived socioeconomic indicator,Derived (computed),spurious
observed_heritage_indicator_136,Aggregated institutional measure,Derived (computed),spurious
transversal_equity_estimator_137,Derived socioeconomic indicator,Derived (computed),spurious
foundational_heritage_coefficient_138,Structural capacity estimator,Derived (computed),spurious
economic_convergence_index_139,Structural capacity estimator,Derived (computed),spurious
multifactorial_governance_benchmark_140,Empirical resilience score,Derived (computed),spurious
derived_opportunity_coefficient_141,Weighted governance proxy,Derived (computed),spurious
